id,family_id,product_code,variant_suffix,configuration_type,configuration_name,specifications,bounding_box,page_number,notes,created_at
40,7,1105-10-10,-10,STANDARD,,"{""Artikelnr"": ""1105-10-10"", ""ID mm"": ""16,0"", ""ID tum"": ""5/8\"""", ""YD mm"": ""23,6"", ""Arb.tr. MPa"": ""29,0"", ""Böjradie mm"": ""130"", ""Vikt kg/m"": ""0,61""}","[173.56363955411044, 339.944243812561, 525.4823771561727, 353.3392442703247]",6,,2025-10-30 12:58:01
41,7,1105-10-12,-12,STANDARD,,"{""Artikelnr"": ""1105-10-12"", ""ID mm"": ""19,0"", ""ID tum"": ""3/4\"""", ""YD mm"": ""27,7"", ""Arb.tr. MPa"": ""28,0"", ""Böjradie mm"": ""160"", ""Vikt kg/m"": ""0,79""}","[173.56363955411044, 353.3392442703247, 525.4823771561727, 366.73424472808836]",6,,2025-10-30 12:58:01
42,7,1105-10-16,-16,STANDARD,,"{""Artikelnr"": ""1105-10-16"", ""ID mm"": ""25,0"", ""ID tum"": ""1\"""", ""YD mm"": ""35,6"", ""Arb.tr. MPa"": ""28,0"", ""Böjradie mm"": ""160"", ""Vikt kg/m"": ""0,79""}","[173.56363955411044, 366.73424472808836, 525.4823771561727, 380.129245185852]",6,,2025-10-30 12:58:01
55,9,1105-63-04-30,-04-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1105-63-04-30"", ""Dimension"": ""1/4\"""", ""Min.längd"": ""170"", ""Max längd"": ""230""}","[173.96000035603842, 453.9683868408203, 537.8899688720703, 466.18439025878905]",7,,2025-10-30 12:58:32
56,9,1105-63-05-30,-05-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1105-63-05-30"", ""Dimension"": ""5/16\"""", ""Min.längd"": ""130"", ""Max längd"": ""190""}","[173.96000035603842, 466.18439025878905, 537.8899688720703, 478.4003936767578]",7,,2025-10-30 12:58:32
57,9,1105-63-06-30,-06-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1105-63-06-30"", ""Dimension"": ""3/8\"""", ""Min.längd"": ""110"", ""Max längd"": ""160""}","[173.96000035603842, 478.4003936767578, 537.8899688720703, 490.61639709472655]",7,,2025-10-30 12:58:32
58,9,1105-63-08-30,-08-30,REEL,PÅ BOBIN,"{""Artikelnr"": ""1105-63-08-30"", ""Dimension"": ""1/2\"""", ""Min.längd"": ""75"", ""Max längd"": ""110""}","[173.96000035603842, 490.61639709472655, 537.8899688720703, 502.8324005126953]",7,,2025-10-30 12:58:32
59,9,1105-63-04,-04,STANDARD,,"{""Artikelnr"": ""1105-63-04"", ""ID mm"": ""6,5"", ""ID tum"": ""1/4\"""", ""YD mm"": ""13,4"", ""Arb.tr. MPa"": ""45,0"", ""Böjradie mm"": ""45"", ""Vikt kg/m"": ""0,29""}","[173.96000035603842, 285.0050001827287, 537.8899688720703, 298.1049996929404]",7,,2025-10-30 12:58:32
60,9,1105-63-05,-05,STANDARD,,"{""Artikelnr"": ""1105-63-05"", ""ID mm"": ""8,0"", ""ID tum"": ""5/16\"""", ""YD mm"": ""15,0"", ""Arb.tr. MPa"": ""42,0"", ""Böjradie mm"": ""60"", ""Vikt kg/m"": ""0,34""}","[173.96000035603842, 298.1049996929404, 537.8899688720703, 311.2049992031521]",7,,2025-10-30 12:58:32
61,9,1105-63-06,-06,STANDARD,,"{""Artikelnr"": ""1105-63-06"", ""ID mm"": ""10,0"", ""ID tum"": ""3/8\"""", ""YD mm"": ""17,0"", ""Arb.tr. MPa"": ""38,5"", ""Böjradie mm"": ""70"", ""Vikt kg/m"": ""0,44""}","[173.96000035603842, 311.2049992031521, 537.8899688720703, 324.30499871336383]",7,,2025-10-30 12:58:32
62,9,1105-63-08,-08,STANDARD,,"{""Artikelnr"": ""1105-63-08"", ""ID mm"": ""13,0"", ""ID tum"": ""1/2\"""", ""YD mm"": ""20,6"", ""Arb.tr. MPa"": ""34,5"", ""Böjradie mm"": ""90"", ""Vikt kg/m"": ""0,54""}","[173.96000035603842, 324.30499871336383, 537.8899688720703, 337.4049982235755]",7,,2025-10-30 12:58:32
63,9,1105-63-10,-10,STANDARD,,"{""Artikelnr"": ""1105-63-10"", ""ID mm"": ""16,0"", ""ID tum"": ""5/8\"""", ""YD mm"": ""23,7"", ""Arb.tr. MPa"": ""29,0"", ""Böjradie mm"": ""130"", ""Vikt kg/m"": ""0,63""}","[173.96000035603842, 337.4049982235755, 537.8899688720703, 350.50499773378726]",7,,2025-10-30 12:58:32
