0,1,2,3,4,5
Product number,"Shell Size -
Insert arr.",Size,Keying,Contacts,Remarks
C0000691-11040,11-04,11,N,4 x AWG20,
C0000691-13320,13-32,13,N,32 x AWG23,HD
C0000691-13630,13-63,13,N,"2 x AWG16 +
2 x AWG12",
C0000691-21160,21-16,21,N,16 x AWG16,
C0000691-21480,21-48,21,N,4 x AWG8,"Special power pins for 21-
48 only"
