0,1,2,3
,PRODUCT SPECIFICATION 1(3),PRODUCT SPECIFICATION 1(3),PRODUCT SPECIFICATION 1(3)
"Uppgjord (även faktaansvarig om annan) - Prepared (also subject responsible if other) Nr - N
96 EMW/FI/P BW FI/P LJR 130",PRODUCT SPECIFICATION 1(3),"o.
1-TZD 101 09 en",PRODUCT SPECIFICATION 1(3)
"Dokansv/Godkänd - Doc respons/Approved Kontr - Checked Datum
FI/P (Lars Johler) 201",PRODUCT SPECIFICATION 1(3),"- Date Rev
4-05-13 B",File
