0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631020/240,15,2 x 3 + 2 x 0.6,14.5± 0.7,11.7,3.30,"Twisted 2 x 3 +8 x
2 x AWG 20"
TFR4631020/370,16,37 x 0.6,13.3 ± 0.7,10.5,3.80,37 x AWG 20
TFR4631024/370,16,37 x 0.20,10.3 ± 0.5,7.7,6.60,"See Para 4 Note: 1
37 x AWG 24"
