0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm
± 0.7","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2020/124,11,12 x 0.6,12.1,10.4,3.7,"4 pcs part x AWG 20
4 pcs RG-187 AWG 28
marked 1- 4"
TFR 463 2020/363,12,3 x 2 x 0.6,11.1,8.4,5.6,"3 x 2 x AWG 20
Braided"
