0,1
Rev,Description
A,First revision.
B,"Para.2.1, Insertion and extraction tools have been added."
C,Added information about TBD in para 4.1.
D,Contact arrangement added and para 4.2 added.
E,Moved layout chapter to same side
F,Updated recommended crimp tool for Nicomatic
G,Added contacts type and contacts reference
I,Added new tools and clarified assembly instructions.
J,Added LTXM10118101/1
