0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631020/083,23,4 x 2 x 0.6,12.0 ± 0.6,9.4,4.10,"4 x 2 x AWG 20
braided"
TFR4631020/243,24a,12 x 2 x 0.6,17.5,14.7,2.30,"12 x 2 AWG 20
braided"
