0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
Ω/km
nom.",Remark
TFR 463 2020/610,15,61 x 0.6,16.3 ± 0.8,13.5,2.5,61 x AWG 20
TFR 463 2024/610,15,61 x 0.25,12.5 ± 0.6,9.9,3.9,61 x AWG 24
TFR 463 2024/500,16,50 x 0.25,11.9 ± 0.6,9.3,4.4,50 x AWG 24
