0,1,2
,Value,Unit
Temperature range,- 55...+125,°C
Operating temperature,- 40...+125 1),°C
Tensile strength,min. 14,N/mm2
Elongation,min. 300,%
"Cold bend, - 40°C","Bend the cable around a mandrel with a
diameter 5 times the cable diameter
Number of bendings shall be 5 times
The examination shall show no cracks",
Flammability,"A burnlight in 45° angle toward the cable
Max afterburn 30 s.",
"Flammability-60 2)
(only valid for selected cables)","A burnlight in 60° angle toward the cable
Flame exposure time 30 s.
Max afterburn 30 s.",
