0,1
Rev,Description
,"Paragraph 5, Remarks column added."
AG,Product code RNT 224 6109/060 has been added.
AH,"Product codes RNT 224 6111/810 and RNT 224 6117/820 have
been added."
AJ,"Document adapted to Saab layout.
Information added to RNT 224 6111/810 and RNT 224 6117/820:
Delivered with:
10/RNT 225 08."
AK,Product code RNT 224 6111/050 has been added.
AL,Product code RNT 224 6125/110 has been added.
AM,Product code RNT 224 6415/050 has been added.
AN,Product code RNT 224 6121/840 has been added.
AS,"Product codes RNT 224 6113/081 and RNT 224 6117/061 have
been added."
AT,"Product codes RNT 224 6111/132, RNT 224 6313/350, RNT 224
6321/350 and RNT 224 6321/351 have been added."
AU,Product code RNT2246119/111 has been added.
AV,"Product codes RNT 224 6413/080 and RNT 224 6413/081 has
been added."
AX,Product code RNT2246323/350 has been added.
AY,"Product codes RNT 2246311/131 and RNT 2246311/132 has been
added."
AZ,Product code RNT2246309/350 has been added.
BA,Product code RNT2246417/060 has been added.
BB,Product code RNT2246309/351 has been added.
BC,"Product code RNT2246313/040 and have RNT2246311/350 been
added."
BD,Product code RNT2246113/045 has been added.
BE,Product code RNT2246315/180 has been added.
BF,Product code RNT2246309/980 has been added.
BG,Product code RNT 2246113/041 has been added.
BH,Product code RNT 2246313/351 has been added.
BJ,Product code RNT 224 6119/351 has been added.
BK,"Product codes RNT 224 6317/061 and RNT 224 6317/062 have
been added."
