0,1,2,3,4,5,6,7
"Contact
size
(AWG)","Suitable
wire
size (AWG)",Crimp tool,"Die
assembly",Locator,"Wire strip
length
(mm)","Insertion
tool",Exctractor tool
16/16S,16-22,M22520/1-01,,TH 452,"6,2",CIT-F80-16,CET-F80-16
12,12-18,M22520/1-01,,TH 452,"6,2",CIT-F80-12,CET-F80-12
8,8,"Wrench
width:",,"5,2 ± 0,1
mm","11,8",CIT-8,CET-8
8,8,"M22520/23-
01","M22520/23-
02",AMT23145L,"11,8",CIT-8,CET-8
4,4,"Wrench
width:",,"7,25 ± 0,1
mm","11,8",CIT-4,CET-4
4,4,"M22520/23-
01","M22520/23-
04",AMT23122L,"11,8",CIT-4,CET-4
0,0,"Wrench
width:",,"11,4 ± 0,1
mm","13,7",CIT-0,CET-0
0,0,"M22520/23-
01","M22520/23-
05",AMT23123L,"13,7",CIT-0,CET-0
