0,1
Rev,Description
A,First revision
B,Added articular
C,"Added 1/1301 in para 1 and changed table in para 2 with a plating
column."
D,"Added info in para 1 and new column “Backshell config” in para 3.
Added products C0000268-211111, C0000268-213121, C0000268-
217141, C0000268-219161."
E,Added product code C0000268-20904.
F,Added product code C0000268-11506.
G,Added product code C0000268-21506.
H,"Added product code C0000268-22110 and C0000268-22110. Added
reference to drawing."
K,Added product code C0000268-01510 and C0000268-21510.
L,"Updated document classification. Added product code C0000268-
21105."
M,Added product code C0000268-11105.
N,Corrected C0000268-211105 to C0000268-21105.
