0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm
± 0.4","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631015/030,1,3 x 1.5,7.2,5.0,10.40,
