0,1
"Connector
shell size","Torque
(Nm)"
"8,9","6,5"
"10, 10SL, 11","8,5"
"12, 12S, 13",12
"14, 14S, 15",13
"16, 16S, 17",13
"18, 19,",13
"20, 21,",15
"22, 23",15
24,15
