0,1,2,3,4
Termination Tools,Termination Tools,Termination Tools,Termination Tools,Termination Tools
Contact Type,Crimp Tool,Positioner,Insertion Tool,Extraction Tool
Pin,"M22520/2-01
M22520/7-01","M22520/2-09
M22520/7-07","M81969/14-01
M81969/8-01","M81969/14-01
M81969/8-02"
Socket,"M22520/2-01
M22520/7-01","M22520/2-07
M22520/7-05","M81969/14-01
M81969/8-01","M81969/14-01
M81969/8-02"
