0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631020/610,17,61 x 0.6,16.3 ± 0.8,13.5,2.50,61 x AWG 20
TFR4631024/610,17,61 x 0.25,12.5 ± 0.6,9.9,3.90,61 x AWG 24
TFR4631024/500,18,50 x 0.25,11.9 ± 0.6,9.3,4.40,50 x AWG 24
