0,1,2,3,4,5
Product number,Size,Layout,Contacts,Keying,Remark
C0005943-09980,9,9-98,3xAWG20,N,Crimp
C0005943-09981,9,9-98,3xAWG20,A,Crimp
C0005943-13350,13,13-35,22xAWG22D,N,Crimp
C0005943-15350,15,15-35,37xAWG22D,N,Crimp
