0,1,2,3
"Product code
Purchased",Remarks,"Product code
Purchased",Remarks
RPY 105 0908/021,Type 2 size 10,RPY 105 0914/041,
RPY 105 0909/011,Type 2 size 11,RPY 105 0914/061,Type 2 size 16
RPY 105 0909/022,Type 2 size 11,RPY 105 0914/062,Type 2 size 16
RPY 105 0909/031,Type 2 size 13,RPY 105 0914/071,Type 2 size 18
RPY 105 0909/041,Type 2 size 13,RPY 105 0914/072,Type 2 size 18
RPY 105 0909/062,Type 2 size 15,RPY 105 0914/081,Type 2 size 20
RPY 105 0910/011,,RPY 105 0914/082,Type 2 size 20
RPY 105 0910/012,,RPY 105 0915/021,
RPY 105 0910/022,,RPY 105 0915/022,
RPY 105 0910/041,Type 2 size 14,RPY 105 0915/031,
RPY 105 0910/042,Type 2 size 14,RPY 105 0915/032,
RPY 105 0910/061,Type 2 size 16,RPY 105 0915/041,
RPY 105 0911/011,,RPY 105 0915/042,
RPY 105 0911/021,,RPY 105 0915/051,
C0000607-11031,Type 2 size 13,RPY 105 0915/052,
RPY 105 0911/041,Type 2 size 13,RPY 105 0915/061,
RPY 105 0911/071,Type 2 size 17,RPY 105 0915/062,
RPY 105 0911/081,Type 2 size 21,RPY 105 0915/071,Type 2 size 17
RPY 105 0912/021,,RPY 105 0915/072,Type 2 size 17
RPY 105 0912/022,,RPY 105 0915/081,Type 2 size 21
RPY 105 0912/041,Type 2 size 14,RPY 105 0916/021,
RPY 105 0912/061,Type 2 size 16,RPY 105 0916/032,
RPY 105 0912/081,Type 2 size 20,RPY 105 0916/041,
RPY 105 0913/021,,RPY 105 0916/042,
RPY 105 0913/031,,RPY 105 0916/061,
RPY 105 0913/041,,RPY 105 0916/071,Type 2 size 18
RPY 105 0913/042,,RPY 105 0916/081,Type 2 size 20
RPY 105 0913/052,Type 2 size 15,RPY 105 0917/031,
RPY 105 0913/061,Type 2 size 15,RPY 105 0917/041,
RPY 105 0913/072,Type 2 size 17,RPY 105 0917/051,
