0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631024/214,31,"9 x 2 x 0.25 +
1 x 3 x 0.25",13.6 ± 0.7,11.0,3.70,"9 x 2 AWG 24+1 x 3
AWG 24 braided"
TFR4631024/144,32,"4 x 2 x 0.2 +
3 x 2 x 0.2",16.1 ± 0.8,13.3,-,"TZD 101 06
4 braided 125 Ω
cables
TFR 100 102/022
3 pair twisted wires"
