0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC- resistance
braid
Ω/km
max",Remark
TFR4631020/412,21,"3 x 3 + 16 x
2 x 0.6",17.3 ± 0.9,14.5,2.50,"3 x 3 + 16 x 2 AWG 20
twisted"
TFR4631024/412,21,"3 x 3 + 16 x
2 x 0.25",13.4 ± 0.7,10.6,3.80,"3 x 3 + 16 x 2 AWG 24
twisted"
