0,1,2,3,4,5
Product code,Fig,"Number of ø
conductors
x mm²","Jacket ø Braid
mm mm
nom","DC-resistance
braid
Ω/km",Remar
,,,,max,Remar
C0001355-24063,36,3 x 2 x 0.2 15,.2 ± 0.6 12.8,TBD,TZD 101 06/2 x 3
