0,1,2,3,4
"Product code
Purchased",Shell size,"Number of contacts
and size","MIL-
designation
D38999/",Remarks
RNT 224 6109/030,9,3 # 20,26WA98SN,
RNT 224 6109/060,9,6 # 22D,26WA35SN,
RNT 224 6111/020,11,2 # 16,26WB2SN,
RNT 224 6111/050,11,5 # 20,26WB5SN,
RNT 224 6111/060,11,6 # 20,26WB98SN,
RNT 224 6111/130,11,13 # 22D,26WB35SN,
RNT 224 6111/131,11,13 # 22D,26WB35SA,
RNT 224 6111/132,11,13 # 22D,26WB35SB,
RNT 224 6111/810,11,"1 # 8
Quadrax","Not QPL
approved
26W…(11-81)","Delivered with:
10/RNT 225 08"
RNT 224 6113/040,13,4 # 16,26WC4SN,
RNT 224 6113/041,13,4 # 16,26WC4SA,
RNT 224 6113/045,13,4 # 16,26WC4SE,
RNT 224 6113/060,13,"2 # 12
6 # 22D","Not QPL
approved
26W…(13-26)",
RNT 224 6113/080,13,8 # 20,26WC8SN,
RNT 224 6113/081,13,8 # 20,26WC8SA,
RNT 224 6113/100,13,10 # 20,26WC98SN,
RNT 224 6113/101,13,10 # 20,26WC98SA,
RNT 224 6113/102,13,10 # 20,26WC98SB,
RNT 224 6113/103,13,10 # 20,26WC98SC,
RNT 224 6113/350,13,22 # 22D,26WC35SN,
RNT 224 6113/351,13,22 # 22D,26WC35SA,
RNT 224 6115/050,15,5 # 16,26WD5SN,
RNT 224 6115/051,15,5 # 16,26WD5SA,
RNT 224 6115/052,15,5 # 16,26WD5SB,
RNT 224 6115/053,15,5 # 16,26WD5SC,
RNT 224 6115/120,15,"8 # 20, 4 # 16",26WD97SN,
