0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2020/153,24,"1 x 3 + 6 x 2 x
0.6",14.8 ± 0.7,12.0,3.4,"1 x 3 + 6 x 2 x
AWG 20 braided"
TFR 463 2024/153,24,"1 x 3 + 6 x 2 x
0.25",12.4 ± 0.6,9.8,4.2,"1 x 3+6 x 2 x
AWG 24 braided"
TFR 463 2020/213,25,7 x 3 x 0.6,15.8 ± 0.8,13.0,2.6,"7 x 3 + 6 x 2 x
AWG 20 braided"
