0,1,2,3,4,5
"She
siz","ll A
e (mm)",Ø B (mm),Ø B (mm),"Ø C ± 0.13
(mm)","Front and Rear
panel thickness
(max) 1)"
"She
siz","ll A
e (mm)","For Back mounting
Minimum","For Front mounting
Minimum","Ø C ± 0.13
(mm)","Front and Rear
panel thickness
(max) 1)"
15,24.61,26.59,23.01,3.25,5.80
17,26.97,30.96,25.81,3.25,5.80
