0,1,2,3
Part Number,Number and size of Contacts,Gender type,Remarks
C0001866-0272,25#AWG20 & 2 #AWG12,Female,"Float, crimp"
C0001866-3272,25#AWG20 & 2 #AWG12,Male,Solder
C0001866-1272,25#AWG20 & 2 #AWG12,Female,Crimp
C0001866-4272,25#AWG20 & 2 #AWG12,Female,Crimp
