0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2020/083,21,4 x 2 x 0.6,12.1 ± 0.6,9.5,4.1,"4 x 2 x AWG 20
braided"
TFR 463 2024/243,22,12 x 2 x 0.25,16.3 ± 0.7,13.5,3.3,"12 x 2 AWG 24
braided"
