0,1
Rev,Description
K,"Paragraph 5, product code RNT 224 4219/110 is changed to RNT 224
4119/110."
L,"Paragraph 5, product code RNT 224 4123/210 and 4125/040 are added."
M,Product code RNT 224 4111/131 added.
N,"Product code RNT 224 4421/390, Number of contacts changed from 2#20
to 2#16."
S,Product code RNT 224 4115/970 has been added.
S,"Document rewritten in MS Wird format.
Document adapted to Saab layout.
Product number RNT2244411/060 has been added."
U,Product number RNT 224 4315/180 has been added.
V,Product number C0000717-15190 has been added.
W,Product number RNT2244415/180 has been added
X,Deleted (Obsolete)
Y,Product code RNT 224 4417/350 has been added.
Z,Product code RNT 224 4311/990 has been added.
AA,Product code RNT 224 4119/351 has been added.
AB,Product code RNT 224 4309/350 has been added.
AC,Added product code RNT 224 4311/351.
AD,Added product code RNT 224 4415/350
AE,Added product code RNT 224 4325/190. Updated document template.
AF,Added product code RNT 224 4321/390
