0,1,2,3,4,5
Product code,"Conductor area
mm2","Outer diameter
ø D","Weight
kg/km","Conductor
colours",Remark
TZD 101 06,0.25,5.1 ± 0.15,36,Red/White,-
TZD 101 06/2,0.25,5.5 ± 0.3,41,Red/White,Halogenfree
