0,1
Rev,Description
M,Product code 1/RPT 234 4125/200 added.
N,Product code RPT 234 4123/350 added.
S,"Product code RPT 234 4115/191, keying N is changed to keying A."
T,Product code RPT 234 4123/210 added.
U,Product code RPT 234 4111/130 and /131 are added.
V,"Paragraph 2.1, text is changed."
X,Language codes removed from 3.2 and 3.3.
Y,Product code RPT 234 4125/040 has been added.
Z,Product code RPT 234 4115/970 has been added.
AA,"Document rewritten in MS word format.
Document adapted to Saab layout.
Product code RPT2344413/220 and RPT2344415/050 are added."
AB,Product code RPT 234 4113/220 has been added.
AC,Product code RPT 234 4419/110 has been added.
AD,Product code RPT 234 4309/060 has been added.
AE,Product code RPT 234 4313/103 has been added.
AF,Product code RPT2344 411/130 has been added
AG,Product code RPT 234 4119/351 has been added.
AH,Product code RPT 234 4119/350 has been added.
AJ,"Added product code RPT 234 4313/351, RPT 234 4317/350 and RPT 234
4319/350."
AK,Added product code RPT2344413/040.
AL,Added product code RPT2344413/351.
AM,"Added product code RPT2344315/191. Updated to the new Saab template
and paragraph 5 is added."
