0,1
Shell Sizes,Torque (Nm)
"8, 9, A",5.8 – 6.9
"3, 10, 10SL, 11, B",8.0 – 9.2
"7, 12, 12S, 13, C",11.6 – 12.8
"14, 14S, 15, 16, 16S, 17, 18, 19, 27, D, E, F",12.5 – 13.7
"20, 21, 37, 22, 23, 24, 25, 61, G, H, J",14.8 – 15.9
"28, 29, 32, 33, 36",16.2 – 17.3
"40, 44, 48",18.0 – 19.1
