0,1,2
Shell size,"E max
(mm)","F max
(mm)"
A (9),13.5,23.9
B (11),15.1,25.4
C (13),15.7,26.7
D (15),16.7,27.7
E (17),17.5,29.2
F (19),19.0,30.2
G 21),19.6,31.8
H (23),20.3,33.5
J (25),20.9,35.1
