0,1
Rev,Description
BL,Product code RNT 224 6317/260 have been added.
BM,Added product code RNT 224 6321/110.
BO,"Added product RNT 224 6317/060, RNT 224 6319/350, RNT 224
6319/351, RNT224 6319/352, RNT 224 6319/353, RNT 224
6319/354 and RNT 224 6319/355"
BS,Added RNT 224 6413/040
BT,"Added RNT2246325/080 and new info on LC (less contacts) in
para 2."
BU,Added RNT2246311/020.
BV,Added RNT2246311/050.
BX,"Document updated to latest template. Product code
RNT2246317/063, RNT 224 6317/064 and RNT 224 6317/065
has been added. /U082878"
BY,Added RNT2246315/191. //EMWJANN
BZ,Added RNT2246311/041 and RNT2246317/351.
CA,"Added RNT2246313/3511 (key A) because RNT2246313/351 is a
key C. See remark for both components!"
CB,Added RNT 224 6313/041 and RNT 224 6313/042
