0,1,2,3
"Product code
Purchased",Remarks,"Product code
Purchased",Remarks
RPY 105 0913/082,Type 2 size 21,RPY 105 0917/052,
RPY 105 0914/021,,RPY 105 0917/061,
RPY 105 0914/022,,RPY 105 0917/062,
RPY 105 0914/032,,RPY 105 0921/081,
RPY 1050917/082,Type 2 size 21,RPY 105 0921/082,
RPY 105 0918/041,,RPY 105 0921/091,Type 2 size 23
RPY 105 0918/042,,RPY 105 0921/092,Type 2 size 23
RPY 105 0918/061,,RPY 105 0921/101,Type 2 size 23
RPY 105 0918/071,,RPY 105 0922/052,
RPY 105 0918/072,,RPY 105 0922/062,
RPY 105 0918/081,Type 2 size 20,RPY 105 0922/072,
RPY 105 0918/082,Type 2 size 20,RPY 105 0922/081,
RPY 105 0919/021,,RPY 105 0922/091,
RPY 105 0919/041,,RPY 105 0923/051,
RPY 105 0919/052,,RPY 105 0923/061,
RPY 105 0919/061,,RPY 105 0923/062,
RPY 105 0919/081,Type 2 size 21,RPY 105 0923/071,
RPY 105 0919/112,Type 2 size 25,RPY 105 0923/081,
RPY 105 0920/041,,RPY 105 0923/092,
RPY 105 0920/042,,RPY 105 0924/051,
RPY 105 0920/051,,RPY 105 0924/072,
RPY 105 0920/052,,RPY 105 0924/081,
RPY 105 0920/061,,RPY 105 0924/082,
RPY 105 0920/062,,RPY 105 0924/091,
RPY 105 0920/071,,RPY 105 0924/102,
RPY 105 0920/091,Type 2 size 22,RPY 105 0925/041,
RPY 105 0920/111,Type 2 size 24,RPY 105 0925/052,
RPY 105 0921/031,,RPY 105 0925/062,
RPY 105 0921/041,,RPY 105 0925/071,
RPY 105 0921/042,,RPY 105 0925/072,
RPY 105 0921/051,,RPY 105 0925/081,
RPY 105 0921/052,,RPY 105 0925/082,
RPY 105 0921/061,,RPY 105 0925/092,
RPY 105 0921/062,,RPY 105 0925/112,
