0,1
Rev,Description
,"Paragraph 4., Panel Cutout, added info about recommended
max panel thickness."
AA,Product code RPT 234 0117/260 has been added.
AB,Para 4.3 removed (TP) from measurement R1 and R2.
AC,Product code RPT 234 0119/110 has been added.
AD,"Product codes RPT2340117/820B and RPT2340121/840B have
been added.
Paragraph 3.2 (Quadrax PCB) has been added."
AE,"Product codes RPT 234 0113/040 and RPT 234 0119/320 have
been added."
AF,Product code RPT 234 0417/260 has been added.
AG,Product code RPT 234 0111/060 has been added.
AH,Product code RPT2340117/990 has been added
AJ,"Product code RPT2340317/060 and RPT2340319/320 have
been added"
AK,Product code PB5075/521N/0 has been added
AL,Product code RPT2340317/560 has been added
AM,"Product codes PB5075/431N/0 and 6853504457 have been
added"
AN,Product code RPT2340313/080 has been added.
AP,"Product code RPT2340313/040 and RPT2340317/080 have
been added."
AQ,"Product code RPT2340309/350 and RPT2340311/350 have
been added."
AR,Product code RPT2340325/080 has been added.
AS,Product code RPT 234 0313/350 has been added.
AT,"Product code RPT2340309/351 and RPT2340315/180 has been
added."
AU,Product code RPT2340115/050 has been added.
AV,Product code RPT 234 0313/351 has been added.
AX,"Product code RPT2340113/041 and RPT2340313/041 has been
added."
AY,Product code RPT 234 0515/180 has been added.
AZ,Product code RPT2340109/350 has been added.
BA,Added product code RPT2340119/111.
BB,Added product code RPT2340315/350 and RPT2340315/351
