0,1,2
ID-code,"Straight boot
RPY 1037","Right angle boot
RPY 1037"
01,13/8,33/10
02,13/8,33/10
03,15/10,33/12
04,15/10,33/12
05,15/12,33/14
06,15/12,33/14
07,15/16,33/16
08,15/16,33/16
09,15/20,33/18
10,15/20,33/18
11,15/20,33/18
