0,1,2,3,4,5
ID code,A,ø Z max,ID code,A,ø Z max
01,12.4,4.0,07,23.5,15.5
02,14.0,5.5,08,26.7,18.5
03,15.6,7.5,09,28.3,21.5
04,17.2,9.5,10,31.4,25.0
05,18.7,10.5,11,34.9,28.5
06,21.9,12.5,,,
