0,1,2,3
Product code,Shell size,"Number of
contacts",MIL-designation
RNT2240109/350,9,6 # 22D,D38999/20WA35SN
RNT 224 0109/030,9,3 # 20,D38999/20WA98SN
RNT 224 0111/350,11,13 # 22D,D38999/20WB35SN
RNT 224 0111/980,11,6 # 20,D38999/20WB98SN
RNT 224 0113/040,13,4 # 16,D38999/20WC4SN
RNT 224 0113/080,13,8 # 20,D38999/20WC8SN
RNT 224 0113/100,13,10 # 20,D38999/20WC98SN
RNT 224 0113/350,13,22 # 22D,D38999/20WC35SN
RNT 224 0113/351,13,22 #22D,D38999/20WC35SA
RNT 224 0115/050,15,5 # 16,D38999/20WD5SN
RNT224 0115/120,15,"8#20, 4#16",D38999/20WD97SN
RNT224 0115/150,15,"14#20, 1#16",D38999/20WD15SN
RNT 224 0115/190,15,19 # 20,D38999/20WD19SN
RNT 224 0115/350,15,37 # 22D,D38999/20WD35SN
RNT 224 0117/260,17,26 # 20,D38999/20WE26SN
RNT 224 0117/350,17,55 # 22D,D38999/20WE35SN
RNT 224 0117/990,17,21 # 20 2 # 16,D38999/20WE99SN
RNT 224 0119/110,19,11 #16,D38999/20WF11SN
RNT 224 0119/320,19,32 # 20,D38999/20WF32SN
RNT 224 0121/040,21,4 # 8,D38899/20WG75SN
RNT 224 0121/160,21,16 # 16,D38999/20WG16SN
RNT 224 0121/410,21,41 # 20,D38999/20WG41SN
RNT 224 0121/411,21,41 # 20,D38999/20WG41SA
RNT 224 0123/210,23,21 # 16,D38999/20WH21SN
RNT 224 0125/200,25,"4 # 12 13 # 16
10 # 20 3 # 8",D38999/20WJ20SN
RNT 224 0125/290,25,29 # 16,D38999/20WJ29SN
RNT 224 0125/350,25,128 # 22D,D38999/20WJ35SN
RNT 224 0125/610,25,61 # 20,D38999/20WJ61SN
1/RNT 224 0115/350 1),15,37 # 22D,D38999/20WD35BN
1/RNT 224 0121/040 1),21,4 # 8,D38999/20WG75BN
