0,1
Rev,Description
D,"Paragraph 4.2 dimension for shell size 11, changed from 19.5 to 19.9 and 20.3 to
20.96."
E,Product code RPT 235 4317/350 is added.
F,Product code RPT 235 4313/350 is added.
G,"Document rewritten in MS Word.
Document adapted to Saab layout.
Product code RPT 235 4317/060 has been added."
