0,1,2,3
"Product code
Purchased","Number of
contacts","Shell
size","MS-designation
D 38999/24"
RNT 224 4309/350,6 #22D,09,FA 35 SN
RNT 224 4311/351,13 #22D,11,FB 35 SA
RNT 224 4311/990,7 #20,11,FB 99 SN
RNT 224 4313/100,10 #20,13,FC 98 SN
RNT 224 4315/180,18 #20,15,FD 18 SN
RNT 224 4321/390,"2#16, 37#20",21,FG 39 SN
RNT 224 4325/190,19#12,25,FJ 19 SN
RNT 224 4409/030,3 #20,09,KA 98 SN
RNT 224 4411/060,6 #20,11,KB 98 SN
RNT 224 4415/180,18 #20,15,KD 18 SN
C0000717-15190,19 #20,15,KD 19 SN
RNT 224 4415/350,37 #22D,15,KD35SN
RNT 224 4417/350,55#22D,17,KE 35 SN
RNT 224 4421/390,"2 #16, 37 #20",21,KG 98 SN
1/RNT 2244113/220,22 #22M,13,WC 35 BN
1/RNT 2244115/350,37 #22,15,WD 35 BN
1/RNT 2244115/370,37 #22D,15,WD 35 BN
1/RNT 2244117/550,55 #22D,17,WE 35 BN
1/RNT 2244123/530,53 #20,23,WH 53 BN
