0,1,2,3,4
"Product code
Purchased",Shell size,"Number of contacts
and size","MIL-
designation
D38999/",Remarks
RNT 224 6115/150,15,"1 # 16, 14 # 20",26WD15SN,
RNT 224 6115/180,15,18 # 20,26WD18SN,
RNT 224 6115/190,15,19 # 20,26WD19SN,
RNT 224 6115/191,15,19 # 20,26WD19SA,
RNT 224 6115/192,15,19 # 20,26WD19SB,
RNT 224 6115/193,15,19 # 20,26WD19SC,
RNT 224 6115/350,15,37 # 22D,26WD35SN,
RNT 224 6115/351,15,37 # 22D,26WD35SA,
RNT 224 6117/060,17,6 # 12,26WE6SN,
RNT 224 6117/061,17,6 # 12,26WE6SA,
RNT 224 6117/080,17,8 # 16,26WE8SN,
RNT 224 6117/260,17,26 # 20,26WE26SN,
RNT 224 6117/550,17,55 # 22D,26WE35SN,
RNT 224 6117/820,17,"2 # 8
Quadrax","Not QPL
approved
26W…(17-82)","Delivered with:
10/RNT 225 08"
RNT 224 6119/110,19,11 # 16,26WF11SN,
RNT 224 6119/111,19,11 # 16,26WF11SA,
RNT 224 6119/320,19,32 # 20,26WF32SN,
RNT 224 6119/350,19,66 # 22D,26WF35SN,
RNT 224 6119/351,19,66 # 22D,26WF35SA,
RNT 224 6121/160,21,16 # 16,26WG16SN,
RNT 224 6121/161,21,16 # 16,26WG16SA,
RNT 224 6121/162,21,16 # 16,26WG16SB,
RNT 224 6121/163,21,16 # 16,26WG16SC,
RNT 224 6121/350,21,79 # 22D,26WG35SN,
RNT 224 6121/390,21,"2 # 16, 37 # 20",26WG39SN,
RNT 224 6121/410,21,41 # 20,26WG41SN,
RNT 224 6121/411,21,41 #20,26WG41SA,
RNT 224 6121/412,21,41 # 20,26WG41SB,
RNT 224 6121/413,21,41 # 20,26WG41SC,
