0,1,2,3,4
"Product code
Purchased","Shell
size","Number of
contacts
x size",Keying,"MIL-designation
D38999/24"
RPT 234 4109/030,9,3 # 20,N,WA98PN
RPT 234 4109/060,9,6 # 22D,N,WA35PN
RPT 234 4111/060,11,6 # 20D,N,WB98PN
RPT 234 4111/130,11,13 # 22,N,WB35PN
RPT 234 4111/131,11,13 # 22,A,WB35PA
RPT 234 4113/080,13,8 # 20,N,WC8PN
RPT 234 4113/100,13,10 # 20,N,WC98PN
RPT 234 4113/220,13,22 # 22D,N,WC35PN
RPT 234 4115/050,15,5 # 16,N,WD5PN
RPT 234 4115/150,15,"1 # 16, 14 # 20",N,WD15PN
RPT 234 4115/180,15,18 # 20,N,WD18PN
RPT 234 4115/190,15,19 # 20,N,WD19PN
RPT 234 4115/191,15,19 # 20,A,WD19PA
RPT 234 4115/192,15,19 # 20,B,WD19PB
RPT 234 4115/370,15,37 # 22D,N,WD35PN
RPT 234 4115/970,15,"8 # 20, 4 # 16",N,WD97PN
RPT 234 4117/060,17,6 # 12,N,WE6PN
RPT 234 4117/080,17,8 # 16,N,WE8PN
RPT 234 4117/260,17,26 # 20,N,WE26PN
RPT 234 4117/550,17,55 # 22D,N,WE35PN
RPT 234 4119/110,19,11 # 16,N,WF11PN
RPT 234 4119/320,19,32 # 20,N,WF32PN
RPT 234 4119/350,19,66 # 22D,N,WF35PN
RPT 234 4119/351,19,66 # 22D,A,WF35PA
RPT 234 4121/040 *),21,4 # 8,N,WG75AN
RPT 234 4121/160,21,16 # 16,N,WG16PN
RPT 234 4121/390,21,"2 # 16, 37 # 20",N,WG39PN
