0,1,2,3,4,5,6,7
,Fig. 37,,,,,,
Product code,Fig. 37,,Fig,"Number of ø
conductors
x mm²","Jacket ø Braid
mm mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4632013/060,Fig. 37,,37,"1 x 1.3 +
5 x 13.3",21.4 18.2,"15.8
1.52","1x AWG 16
5x AWG 6"
