0,1,2
Part Number,Number and size of Contacts,Remarks
C0004924-10030,3xAWG16,"Backshell for strain
relief. Straight."
C0004924-10031,3xAWG16,"Backshell for strain
relief. Straight."
C0004924-100309,3xAWG16,"Backshell for shield
(360°) and shrink
boot. 90° deg."
