0,1,2,3,4
"Shell
size","A
(mm)",Ø B (mm),Ø B (mm),"Ø C ± 0.13
(mm)"
"Shell
size","A
(mm)","For Back mounting
Minimum","For Front mounting
Minimum","Ø C ± 0.13
(mm)"
15,24.61,26.59,23.01,3.25
17,26.97,30.96,25.81,3.25
