0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631020/153,26,"1 x 3 + 6 x
2 x 0.6",14.8 ± 0.7,12.0,3.40,"1 x 3+6 x 2 x AWG 20
braided"
TFR4631024/153,26,"1 x 3 + 6 x
2 x 0.25",12.4 ± 0.6,9.8,4.20,"1 x 3+6 x 2 x AWG 24
braided"
TFR4631020/213,27,7 x 3 x 0.6,15.7 ± 0.8,13.0,2.60,"7 x3+6 x 2 x AWG 20
braided"
