0,1,2,3,4,5,6,7,8,9
"Shell
Size",A,B,C,D,E,G,H,J,Ø L
"Shell
Size",± 0.3,,,± 0.2,± 0.2,Max,Max,"No. of
teeth",Max
D(15),31.00,24.61,23.01,4.39,3.25,20.83,2.50,24,16.92
E(17),33.30,26.97,24.61,4.93,3.25,20.83,2.50,28,20.09
