0,1,2,3,4,5,6,7
Shell size,"ø A
max","H
max","L
max","M
max",N,"ø P
max","T thread
UNEF-2A"
9,14.6,2.54,20.8,24.3,18.3,3.5,7/16-28
11,17.8,2.54,20.8,26.7,20.6,3.5,9/16-24
13,"21,6",2.54,20.8,29.1,23.0,3.5,11/16-24
15,24.8,2.54,20.8,31.5,24.6,3.5,13/16-20
17,28.0,2.54,20.8,33.8,27.0,3.5,15/16-20
19,30.7,3.30,20.8,37.0,29.4,3.5,1 1/16-18
21,33.9,3.30,20.1,40.2,31.8,3.5,1 3/16-18
23,37.0,3.30,20.1,43.4,34.9,4.0,1 5/16-18
25,40.2,3.30,20.1,46.5,38.1,4.0,1 7/16-18
