0,1
"RPY10509XX/…
C0000000-XX…
RPYM1050006
D38999 Serie III
(Shell size)","Maximum
admissible
torque
(Nm)"
9,6.5
11,8.5
13,12.0
15,13.0
17,13.0
19,13.0
21,15.0
23,15.0
25,15.0
