0,1,2,3,4
ID Code,"Max (*)
Shell size","ØK typ
Cable entry
(mm)","ØL typ
(mm)","ØM typ
(mm)"
01,,3.1,6.4,7.9
02,,4.8,7.9,9.5
03,A (09),6.3,9.5,11.1
04,,7.9,11.1,12.7
05,B (11),9.5,12.7,14.3
06,,11.1,14.3,15.8
07,C (13),12.7,15.9,17.4
08,,14.3,17.5,19.1
09,D (15),15.9,19.1,20.6
10,,17.5,20.6,22.2
11,E (17),19.0,22.2,23.8
12,,20.6,23.8,25.4
13,F (19),22.2,25.4,27.0
14,,23.8,27.0,28.5
15,G (21),25.4,28.6,30.1
16,,27.0,30.2,31.8
17,H (23),28.6,31.8,33.3
18,J (25),31.8,34.9,36.5
