0,1,2,3,4
"Product code
Purchased","Shell
size","Number of
contacts","MS-designation
D38999/20",Remarks
RPT 234 0121/290,21,"19 #20, 4 #
16, 4 # 16",WG29PN,
RPT 234 0121/410,21,41 # 20,WG41PN,
RPT 234 0121/840B,21,"4 # 8
Quadrax","Not QPL approved
20W…(21-84)","PCB mount, acc.
to Para 3.2.2"
RPT 234 0123/210,23,21 # 16,WH21PN,
RPT 234 0125/200,25,"4 # 12 13 #
16
3 # 8 10 #
20",WJ20PN,
RPT 234 0125/610,25,61 # 20,WJ61PN,
RPT 234 0309/350,9,6 # 22D,FA35PN,
RPT 234 0309/351,9,6 # 22D,FA35PA,
RPT 234 0311/041,11,4 # 20,FB04PA,
RPT 234 0311/350,11,13 # 22D,FB35PN,
RPT 234 0311/351,11,13 # 22D,FB35PA,
RPT 234 0311/980,11,6 # 20,FB98PN,
RPT 234 0311/990,11,7 #20,FB99PN,
RPT 234 0313/040,13,4 # 16,FC4PN,
RPT 234 0313/041,13,4 # 16,FC4PA,
RPT 234 0313/080,13,8 # 20,FC8PN,
RPT 234 0313/350,13,22 # 22D,FC35PN,
RPT 234 0313/351,13,22 # 22D,FC35PC,
RPT 234 0315/180,15,18 # 20,FD18PN,
RPT 234 0315/350,15,37 # 22D,FD35PN,
RPT 234 0315/351,15,37 # 22D,FD35PA,
RPT 234 0317/060,17,6 # 12,FE6PN,
RPT 234 0317/080,17,8 # 16,FE8PN,
RPT 234 0317/350,17,55 # 22D,FE35PN,
RPT 234 0317/351,17,55 # 22D,FE35PA,
RPT 234 0317/560,17,6 # 12,FE6PE,
RPT 234 0319/320,19,32 # 20,FF32PN,
RPT 234 0323/350,23,100 # 22D,FH35PN,
RPT 234 0325/080,25,8 # 8,FJ8PN,Twinax
