0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2020/412,19,"3 x 3 + 16 x
2 x 0.6",17.3 ± 0.9,14.5,2.5,"3 x 3 + 16 x 2
AWG 20 twisted"
TFR 463 2024/412,19,"3 x 3 + 16 x
2 x 0.25",13.4 ± 0.7,10.6,3.8,"3 x 3 + 16 x 2
AWG 24 twisted"
