0,1,2,3,4,5
Product number,"Shell Size -
Insert arr.","Shell
Size",Keying,Contacts,Remarks
C0000658-09351,9-35,9,A,6 x AWG22D,
C0000658-09352,9-35,9,B,6 x AWG22D,
C0000658-11040,11-04,11,N,4 x AWG20,
C0000658-11050,11-05,11,N,5 x AWG20,
C0000658-11350,11-35,11,N,13 x AWG22D,
C0000658-13320,13-32,13,N,32 x AWG23,HD
C0000658-13630,13-63,13,N,2 x AWG16 +,
