0,1,2,3,4
"Product code
Purchased",Fig,"Shell
size","Number of
contacts
and size",MIL-designation
RPT 234 6111/980,1,11,6 # 20,D38999/26WB98PN
RPT 234 6113/040,1,13,4 #16,D38999/26WC4PN
RPT 234 6113/080,1,13,8 #20,D38999/26WC8PN
RPT 234 6113/100,1,13,10 #20,D38999/26WC98PN
RPT 234 6113/101,1,13,10 #20,D38999/26WC98PA
RPT 234 6113/350,1,13,22 #22D,D38999/26WC35PN
RPT 234 6113/351,1,13,22 #22D,D38999/26WC35PA
RPT 234 6113/352,1,13,22 #22D,D38999/26WC35PB
RPT 234 6113/353,1,13,22 #22D,D38999/26WC35PC
RPT 234 6115/050,1,15,5 #16,D38999/26WD5PN
RPT 234 6115/150,1,15,"14 #20, 1 #16",D38999/26WD15PN
RPT 234 6115/180,1,15,18 #20,D38999/26WD18PN
RPT 234 6115/190,1,15,19 #20,D38999/26WD19PN
RPT 234 6115/191,1,15,19 #20,D38999/26WD19PA
RPT 234 6115/350,1,15,37 #22D,D38999/26WD35PN
RPT 234 6115/352,1,15,37 #22D,D38999/26WD35PB
RPT 234 6115/970,1,15,"8 #20, 4 #16",D38999/26WD97PN
RPT 234 6117/060,1,17,6 #12,D38999/26WE6PN
RPT 234 6117/260,1,17,26 #20,D38999/26WE26PN
RPT 234 6117/350,1,17,55 #22D,D38999/26WE35PN
RPT 234 6117/990,1,17,"21 # 20, 2 # 16",D38999/26WE99PN
RPT 234 6119/110,1,19,11 #16,D38999/26WF11PN
RPT 234 6119/111,1,19,11 #16,D38999/26WF11PA
RPT 234 6119/320,1,19,32 #20,D38999/26WF32PN
RPT 234 6119/321,1,19,32 #20,D38999/26WF32PA
RPT 234 6119/351,1,19,66 #22D,D38999/26WF35PA
"RPT 234 6121/040
1)",1,21,4 #8,D38999/26WG75AN
