0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631024/243,24b,12 x 2 x 0.25,15.1,12.5,-,"12 x 2 AWG 24
braided"
