0,1,2,3,4
"Product code
Purchased",Fig,"Shell
size","Number of
contacts
and size",MIL-designation
RPT 234 6109/030,1,9,3 #20,D38999/26WA98PN
RPT 234 6109/350,1,9,6 #22D,D38999/26WA35PN
RPT234 6109/352,1,9,6 #22D,D38999/26WA35PB
RPT234 6109/982,1,9,3 #20,D38999/26WA98PB
RPT 234 6111/040,1,11,4 #20,D38999/26WB4PN
RPT234 6111/041,1,11,4 #20,D38999/26WB4PA
RPT234 6111/042,1,11,4 #20,D38999/26WB4PB
RPT234 6111/043,1,11,4 #20,D38999/26WB4PC
RPT234 6111/044,1,11,4 #20,D38999/26WB4PD
RPT2346111/050,1,11,5 #20,D38999/26WB5PN
RPT2346111/051,1,11,5 #20,D38999/26WB5PA
RPT 234 6111/130,1,11,13 #22D,D38999/26WB35PN
RPT 234 6111/131,1,11,13 #22D,D38999/26WB35PA
