0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631016/020,8,2 x 1.25,6.5 ± 0.3,4.3,-,2 x AWG 16
TFR4631020/020,8,2 x 0.6,5.4 ± 0.3,3.4,19.70,2 x AWG 20
TFR4631020/070,9,7 x 0.6,7.0 ± 0.4,4.8,10.90,"See Para 4 Note: 1
7 x AWG 20"
TFR4631024/070,9,7 x 0.2,5.7 ± 0.3,3.7,15.00,"See Para 4 Note: 1
7 x AWG 24"
