0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm²","ø Jacket
mm","ø Braid
mm
nom","DC-resistance
braid
Ω/km
max",Remark
TFR4631024/264,35,"20 x 0.25 + 3
x 2 x 0.2",11.1 ± 0.6,8.5,-,"TZD 101 06 x 3 +
20 x AWG24"
