0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2020/573,26,"3 x 3 + 24 x
2 x 0.6",27.7 ± 1.4,24.5,1.0,"3x3+24 x 2 x AWG 20
braided"
TFR 463 2024/573,26,"3 x 3 + 24 x
2 x 0.25",22.4 ±1.1,19.4,1.8,"3x3+24 x 2 x AWG 24
braided"
