0,1
Rev,Description
T,"Figure 33, number of conductors 28x2x20.25 is changed to 14x2x0.25."
U,"Paragraph 1.1, MIL-W-16878 is deleted."
V,Figure 34 and Product code TFR 463 2016/161 added.
X,"Fig. 4, numbers have been added."
Y,Product code TFR 463 2024/2032 has been added.
Z,DC-resistance has been added to all product codes.
AA,"Fig. 4, numbers have been changed from 1, 2 and 3 to 0 instead."
AB,"Document rewritten in MS Word.
Wire colours for figure 5 page 6 corrected. Changed from 1 and 2 to 0 and 9."
AC,Product code TFR 463 2025/030 has been added.
AD,"Par 8.4; corrected information about TFR4632020/2641, 4 braided…. Changed to 8 braided…."
AE,"Fig. 4 (page 6), added alternative picture for new layout that will be used in the future."
AF,"Product code TFR4632015/020, TFR4632025/020, TFR4632060/020, TFR4632010/020 & /040
has been added."
AG,"Para 8.2, Columns has been updated."
AH,Product code TFR 4632010/050 has been added.
AJ,Picture 2b has been added.
AK,"Page 3: Note 1 added
Figure 36 and product code C0001355-24063 has been added."
AL,Figure 37 and product code TFR4632013/060 has been added.
AM,Added product code TFR4632016/070. Figure 6 changed to 6a. Figure 6b has been added.
AN,Added product code TFR 463 2010/041.
AS,"Para 5: Flammability-60 requirement for selected cables has been added.
Added Remark: See Para 5 Note: 2 for the following cables: TFR4632024/370, TFR4632024/190,
TFR4632024/202, TFR4632010/040, TFR4632020/070, TFR4632016/020."
