0,1,2
,Rev,Description
,A,First revision
,B,Product codes RPTM2340002/11350 and RPTM2340002/15350 have been added.
,C,Product number RPTM2340002/25040 has been added
,D,Product number RPTM2340002/15051 has been added
,E,Product codes C0000486-11980 and C0000486-13350 have been added.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",F,"Para 5; added column ‘Keying’ and text under table.
Added several Part numbers."
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",G,Product code RPTM2340002/25200 has been added.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",H,Product code RPTM2340002/15050 has been added.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",J,Product code RPTM2340002/09981 and RPTM2340002/15351 has been added.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",K,Product code RPTM2340002/17060 has been added.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",L,Corrected value R1 for size 13 in table 2.1.1 and 4.1.
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",M,"Updated document classification and added authorisation footer. Updated information in
para 1 and changed para 3 to “internal information”. Added RPTM2340002/25190 in para
5."
"This document and the information contained herein is the property of Saab AB and must not be used, disclosed or altered without Saab AB prior written consent.",,"Updated document classification and added authorisation footer. Updated information in
para 1 and changed para 3 to “internal information”. Added RPTM2340002/25190 in para
5."
