0,1,2,3,4,5,6
Product number,Angle,"Shell
size","Cable entry
(mm)","Suitable Shrink
boot size (mm)","Style 2
(shell size)",Remarks
RPYM1050052/91305,90°,C (13),9.5,12.7,N/A,
