0,1,2,3,4
"Product code
Purchased",Fig,"Shell
size","Number of
contacts
and size",MIL-designation
RPT 234 6315/350,1,15,37#22D,D38999/26FD35PN
RPT 234 6315/351,1,15,37#22D,D38999/26FD35PA
RPT 234 6315/353,1,15,37 #22D,D38999/26FD35PC
RPT 234 6317/060,1,17,6 #12,D38999/26FE6PN
RPT 234 6317/061,1,17,6 #12,D38999/26FE6PA
RPT 234 6317/062,1,17,6 #12,D38999/26FE6PB
RPT 234 6317/065,1,17,6 #12,D38999/26FE6PE
RPT 234 6317/350,1,17,55 #22D,D38999/26FE35PN
RPT 234 6319/280,1,19,"2#16, 26#20",D38999/26FF28PN
RPT 234 6319/350,1,19,66 #22D,D38999/26FF35PN
RPT 234 6319/351,1,19,66 #22D,D38999/26FF35PA
RPT 234 6321/351,1,21,79 # 22D,D38999/26FG35PA
RPT 234 6321/390,1,21,"2#16, 37#20",D38999/26FG39PN
RPT 234 6323/350,1,23,100 # 22D,D38999/26FH35PN
RPT 234 6325/040,1,25,"48#20, 8#16",D38999/26FJ4PN
RPT 234 6325/190,1,25,19#12,D38999/26FJ19PN
RPT 234 6409/351,1,9,6 #22D,D38999/26KA35PA
RPT 234 6409/030,1,9,3#20,D38999/26KA98PN
RPT 234 6409/350,1,9,6#22D,D38999/26KA35PN
RPT 234 6411/020,1,11,2#16,D38999/26KB2PN
RPT 234 6413/080,1,13,8 #20,D38999/26KC8PN
RPT 234 6413/350,1,13,22 #22D,D38999/26KC35PN
RPT 234 6417/060,1,17,6 #12,D38999/26KE6PN
RPT 234 6419/111,1,19,11 #16,D38999/26KF11PA
"RPT 234 6419/180
1)",1,19,"14 #22D, 4 #8
Twinax",D38999/26KF18AN
RPT 234 6421/390,1,21,37#20 2#16,D38999/26KG39PN
RPT 234 6423/350,1,23,100#22D,D38999/26KH35PN
