0,1,2,3,4,5,6
Product code,Fig,"Number of
conductors
x mm2","ø Jacket
mm","ø Braid
mm
nom","DC-
resistance
Ω/km
nom.",Remark
TFR 463 2020/383,23,19 x 2 x 0.6,21.2 ±1.1,18.2,1.8,"19 x 2 x AWG 20
braided"
TFR 463 2024/383,23,19 x 2 x 0.25,17.5 ± 0.9,14.7,2.3,"19 x 2 x AWG 24
braided"
