0,1,2,3
Product code,"Design
Fig","Number of
contacts",Remark
"RNT18101/04
RNT18101/06
RNT18101/061
RNT18101/08
RNT18101/10
RNT18101/101
RNT18101/12
RNT18101/121
RNT18101/14
RNT18101/14
RNT18101/16
RNT18101/161
RNT18101/18
RNT18101/20
RNT18101/22
RNT18101/26
RNT18101/261
RNT18101/34
RNT18101/36
RNT18101/40","2
2
1/1301-
2
2
2
2
1/1301-
2
1/1301-
2
1/1301-
2
2
1/1301-
2
1/1301-
2
1/1301-
2","4
6
6
8
10
10
12
12
14
14
16
16
18
20
22
26
26
34
36
40","Crimp, AWG 24-28
Crimp, AWG 24-28
Crimp, AWG 22
Crimp, AWG 24-28
Crimp, AWG 24-28
Crimp, AWG 22
Crimp, AWG 24-28
Crimp, AWG 22
Crimp, AWG 24-28
Crimp, AWG 22
Crimp, AWG 24-28
Crimp, AWG 22
Crimp, AWG 24-28
Crimp, AWG 24-28
Crimp, AWG 22
Crimp, AWG 24-28
Crimp, AWG 22
Crimp, AWG 24-28
Crimp, AWG 24-28
Crimp, AWG 24-28"
"RNT18102/04
RNT18102/06
RNT18102/08
RNT18102/10","4
4
4
4","4
6
8
10","For PC mounting
Black or grey housing"
